id,location_id,village_id,source_year,population,households,male_population,female_population,workers,main_workers,marginal_workers,literacy_rate,sc_population,other_available_indicators,source_id,confidence,data_status
DEMO-035314-2011,LOC-VIL-035314,VIL-PB-035314,2011,2401,464,1234,1167,931,810,121,55.02,1111,"{""agricultural_laborers"": 315, ""cultivators"": 334, ""household_industry_workers"": 8, ""other_workers"": 153, ""children_0_6"": 294, ""non_working_population"": 1470, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 116}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035315-2011,LOC-VIL-035315,VIL-PB-035315,2011,5053,971,2602,2451,1744,1454,290,55.21,2793,"{""agricultural_laborers"": 620, ""cultivators"": 351, ""household_industry_workers"": 29, ""other_workers"": 454, ""children_0_6"": 563, ""non_working_population"": 3309, ""marginal_cultivators"": 16, ""marginal_agri_labourers"": 222}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035316-2011,LOC-VIL-035316,VIL-PB-035316,2011,3198,629,1662,1536,1162,1102,60,54.47,1442,"{""agricultural_laborers"": 464, ""cultivators"": 520, ""household_industry_workers"": 8, ""other_workers"": 110, ""children_0_6"": 362, ""non_working_population"": 2036, ""marginal_cultivators"": 10, ""marginal_agri_labourers"": 47}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035317-2011,LOC-VIL-035317,VIL-PB-035317,2011,6529,1282,3403,3126,2290,1939,351,48.92,3804,"{""agricultural_laborers"": 968, ""cultivators"": 510, ""household_industry_workers"": 17, ""other_workers"": 444, ""children_0_6"": 760, ""non_working_population"": 4239, ""marginal_cultivators"": 7, ""marginal_agri_labourers"": 290}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035318-2011,LOC-VIL-035318,VIL-PB-035318,2011,1907,373,980,927,1090,651,439,58.52,1157,"{""agricultural_laborers"": 259, ""cultivators"": 190, ""household_industry_workers"": 1, ""other_workers"": 201, ""children_0_6"": 207, ""non_working_population"": 817, ""marginal_cultivators"": 3, ""marginal_agri_labourers"": 20}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035319-2011,LOC-VIL-035319,VIL-PB-035319,2011,4942,947,2611,2331,1873,1468,405,54.86,2021,"{""agricultural_laborers"": 482, ""cultivators"": 683, ""household_industry_workers"": 11, ""other_workers"": 292, ""children_0_6"": 572, ""non_working_population"": 3069, ""marginal_cultivators"": 13, ""marginal_agri_labourers"": 317}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035320-2011,LOC-VIL-035320,VIL-PB-035320,2011,1362,261,731,631,591,471,120,53.38,659,"{""agricultural_laborers"": 173, ""cultivators"": 167, ""household_industry_workers"": 2, ""other_workers"": 129, ""children_0_6"": 135, ""non_working_population"": 771, ""marginal_cultivators"": 6, ""marginal_agri_labourers"": 104}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035240-2011,LOC-VIL-035240,VIL-PB-035240,2011,3838,672,2013,1825,1540,1199,341,55.52,1817,"{""agricultural_laborers"": 319, ""cultivators"": 538, ""household_industry_workers"": 3, ""other_workers"": 339, ""children_0_6"": 469, ""non_working_population"": 2298, ""marginal_cultivators"": 29, ""marginal_agri_labourers"": 250}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035241-2011,LOC-VIL-035241,VIL-PB-035241,2011,2782,520,1469,1313,1097,849,248,55.46,1590,"{""agricultural_laborers"": 323, ""cultivators"": 361, ""household_industry_workers"": 3, ""other_workers"": 162, ""children_0_6"": 365, ""non_working_population"": 1685, ""marginal_cultivators"": 7, ""marginal_agri_labourers"": 142}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035242-2011,LOC-VIL-035242,VIL-PB-035242,2011,5256,960,2765,2491,2103,1563,540,59.44,2929,"{""agricultural_laborers"": 571, ""cultivators"": 465, ""household_industry_workers"": 14, ""other_workers"": 513, ""children_0_6"": 661, ""non_working_population"": 3153, ""marginal_cultivators"": 9, ""marginal_agri_labourers"": 499}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035243-2011,LOC-VIL-035243,VIL-PB-035243,2011,2110,389,1120,990,830,726,104,65.88,720,"{""agricultural_laborers"": 228, ""cultivators"": 326, ""household_industry_workers"": 7, ""other_workers"": 165, ""children_0_6"": 197, ""non_working_population"": 1280, ""marginal_cultivators"": 18, ""marginal_agri_labourers"": 58}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035244-2011,LOC-VIL-035244,VIL-PB-035244,2011,2558,495,1356,1202,979,958,21,58.64,747,"{""agricultural_laborers"": 126, ""cultivators"": 426, ""household_industry_workers"": 11, ""other_workers"": 395, ""children_0_6"": 299, ""non_working_population"": 1579, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 3}",SRC-GOI-CENSUS-2011,0.99,official
